32	4607	2	101	0	0	41.27	40.51	39.21	37.9	51.04	49.71	2	2
33	4618	2	101	0	0	40.66	39.83	36.74	33.64	.	.	2	2
34	3299	2	101	0	1	39.89	41.93	58.84	50.87	60.7	.	1	5
35	5374	2	101	0	1	41.1	.	.	.	.	.	2	4
36	3746	2	101	0	0	40.21	44.54	49.79	47.43	45.29	46.59	2	1
37	5353	2	101	0	0	59.61	66.37	63.86	68.89	68.94	70.76	2	2
38	4533	2	101	0	0	37.47	36.76	45.75	46.95	49.7	.	.	1
39	2417	2	101	0	1	52.31	54.39	62.77	58.94	64.91	64.84	2	.
40	6901	2	101	0	1	41.82	47.99	55.3	57.47	60.63	61.49	3	4
41	3616	2	101	0	0	35.07	.	.	.	.	.	2	1
42	3094	2	101	0	0	49.22	49.88	46.71	56.57	.	.	2	1
43	1378	2	101	0	0	35.76	38.72	41.65	36.71	53.38	51.25	2	1
44	2063	2	101	0	1	31.87	41.05	35.93	41.21	44.16	44.43	2	4
45	4582	2	101	0	0	39.28	42.79	54.6	55.47	.	.	2	2
46	6062	2	101	0	0	47.96	54.06	.	.	.	.	2	3
47	1976	2	101	0	0	51.55	47.34	57.5	64.29	.	.	1	1
48	4092	2	101	0	1	40.74	46.38	43.4	47.35	.	.	5	2
49	2319	2	101	0	0	39.13	32.28	41.54	45.09	.	.	2	5
50	1721	2	101	0	0	38.12	38.83	39.54	.	.	.	.	.
51	3996	2	101	0	0	41.86	40.51	46.73	.	.	.	2	.
52	4754	2	101	0	1	47.58	38.83	.	.	.	.	1	2
53	3585	2	101	0	0	50.37	.	.	.	.	.	2	.
54	2784	2	101	0	0	37.21	.	.	.	.	.	1	.
55	4039	2	101	0	0	41.99	39.45	36.91	.	.	.	1	2
56	5373	2	101	0	1	65.24	69.56	72.69	74.39	82.16	82.97	5	5
57	1033	2	101	0	0	49.9	36.2	45.48	47.88	51.53	50.22	2	2
58	2418	2	101	0	0	39.87	39.02	46.6	39.29	44.89	44.55	1	2
59	5318	2	101	0	1	38.68	.	.	.	.	.	2	2
60	1794	2	101	0	0	44.59	52.84	56.57	58.76	51.97	.	.	.
61	2212	2	101	0	0	56.58	.	.	.	.	.	2	1
62	1324	2	102	0	0	44.59	42	49.38	52.56	.	.	2	5
63	1681	2	102	0	0	34.68	42.23	47	49.22	.	.	2	2
64	4916	2	102	0	1	41.08	51.1	61.11	.	.	.	1	1
65	2310	2	102	0	1	40.43	40.95	54.48	66.03	58.39	57.02	.	2
66	1382	2	102	0	0	39.08	35.57	32.05	.	.	.	2	2
67	1497	2	102	0	0	52.8	60.46	63.72	66	.	.	2	1
68	4615	2	102	0	1	44.6	49.56	56.32	60.74	61.29	.	2	2
69	1614	2	102	0	0	32.12	28.49	34.02	36.16	48.47	44.62	2	4
70	1577	2	102	0	1	34.75	42.72	46.22	49.52	50.77	.	1	2
